region,side
AAA,right
AAA,left
ACAd1,right
ACAd1,left
ACAd2/3,right
ACAd2/3,left
ACAd5,left
ACAd5,right
ACAd6a,left
ACAd6a,right
ACAd6b,left
ACAd6b,right
ACAv1,right
ACAv1,left
ACAv2/3,left
ACAv2/3,right
ACAv5,left
ACAv5,right
ACAv6a,left
ACAv6a,right
ACAv6b,right
ACAv6b,left
ACB,right
ACB,left
Acs5,left
Acs5,right
ACVII,left
ACVII,right
AD,right
AD,left
ADP,right
ADP,left
AHN,left
AHN,right
AId1,left
AId1,right
AId2/3,right
AId2/3,left
AId5,left
AId5,right
AId6a,left
AId6a,right
AId6b,left
AId6b,right
AIp1,right
AIp1,left
AIp2/3,right
AIp2/3,left
AIp5,left
AIp5,right
AIp6a,left
AIp6a,right
AIp6b,left
AIp6b,right
AIv1,right
AIv1,left
AIv2/3,left
AIv2/3,right
AIv5,left
AIv5,right
AIv6a,left
AIv6a,right
AIv6b,right
AIv6b,left
AMBd,left
AMBd,right
AMBv,right
AMBv,left
AMd,right
AMd,left
AMv,left
AMv,right
ANcr1,right
ANcr1,left
ANcr2,left
ANcr2,right
AOBgl,left
AOBgl,right
AOBgr,right
AOBgr,left
AOBmi,left
AOBmi,right
AON,right
AON,left
AP,left
AP,right
APN,right
APN,left
APr,right
APr,left
ARH,left
ARH,right
ASO,left
ASO,right
AT,left
AT,right
AUDd1,right
AUDd1,left
AUDd2/3,left
AUDd2/3,right
AUDd4,left
AUDd4,right
AUDd5,left
AUDd5,right
AUDd6a,right
AUDd6a,left
AUDd6b,left
AUDd6b,right
AUDp1,right
AUDp1,left
AUDp2/3,left
AUDp2/3,right
AUDp4,left
AUDp4,right
AUDp5,left
AUDp5,right
AUDp6a,left
AUDp6a,right
AUDp6b,left
AUDp6b,right
AUDpo1,left
AUDpo1,right
AUDpo2/3,left
AUDpo2/3,right
AUDpo4,left
AUDpo4,right
AUDpo5,left
AUDpo5,right
AUDpo6a,left
AUDpo6a,right
AUDpo6b,left
AUDpo6b,right
AUDv1,left
AUDv1,right
AUDv2/3,right
AUDv2/3,left
AUDv4,left
AUDv4,right
AUDv5,left
AUDv5,right
AUDv6a,left
AUDv6a,right
AUDv6b,left
AUDv6b,right
AV,right
AV,left
AVP,left
AVP,right
AVPV,left
AVPV,right
B,left
B,right
BA,right
BA,left
BAC,right
BAC,left
BLAa,right
BLAa,left
BLAp,right
BLAp,left
BLAv,right
BLAv,left
