region,side
AAA,left
AAA,right
ACAd,left
ACAd,right
ACAv,left
ACAv,right
ACB,left
ACB,right
ACVII,left
ACVII,right
AD,left
AD,right
ADP,left
ADP,right
AHN,left
AHN,right
AId,left
AId,right
AIp,left
AIp,right
AIv,left
AIv,right
AM,left
AM,right
AMB,left
AMB,right
ANcr1,left
ANcr1,right
ANcr2,left
ANcr2,right
AOB,left
AOB,right
AON,left
AON,right
AP,left
AP,right
APN,left
APN,right
APr,left
APr,right
ARH,left
ARH,right
ASO,left
ASO,right
AT,left
AT,right
AUDd,left
AUDd,right
AUDp,left
AUDp,right
AUDpo,left
AUDpo,right
AUDv,left
AUDv,right
AV,left
AV,right
AVP,left
AVP,right
AVPV,left
AVPV,right
Acs5,left
Acs5,right
B,left
B,right
BA,left
BA,right
BAC,left
BAC,right
BLA,left
BLA,right
BMA,left
BMA,right
BST,left
BST,right
CA1,left
CA1,right
CA2,left
CA2,right
CA3,left
CA3,right
CEA,left
CEA,right
CENT2,left
CENT2,right
CENT3,left
CENT3,right
CL,left
CL,right
CLA,left
CLA,right
CLI,left
CLI,right
CM,left
CM,right
COA,left
COA,right
COAp,left
COAp,right
COPY,left
COPY,right
CP,left
CP,right
CS,left
CS,right
CU,left
CU,right
"CUL4, 5",left
"CUL4, 5",right
CUN,left
CUN,right
DCO,left
DCO,right
DEC,left
DEC,right
DG,left
DG,right
DMH,left
DMH,right
DMX,left
DMX,right
DN,left
DN,right
DP,left
DP,right
DR,left
DR,right
DT,left
DT,right
DTN,left
DTN,right
ECT,left
ECT,right
ECU,left
ECU,right
ENTl,left
ENTl,right
ENTm,left
ENTm,right
EP,left
EP,right
EW,left
EW,right
Eth,left
Eth,right
FC,left
FC,right
FF,left
FF,right
FL,left
FL,right
FN,left
FN,right
FOTU,left
FOTU,right
FRP,left
FRP,right
FS,left
FS,right
GR,left
GR,right
GRN,left
GRN,right
GU,left
GU,right
HATA,left
HATA,right
I5,left
I5,right
IA,left
IA,right
IAD,left
IAD,right
IAM,left
IAM,right
IC,left
IC,right
ICB,left
ICB,right
IF,left
IF,right
IG,left
IG,right
IGL,left
IGL,right
III,left
III,right
ILA,left
ILA,right
IMD,left
IMD,right
INC,left
INC,right
IO,left
IO,right
IP,left
IP,right
IPN,left
IPN,right
IRN,left
IRN,right
ISN,left
ISN,right
IV,left
IV,right
IntG,left
IntG,right
KF,left
KF,right
LA,left
LA,right
LAV,left
LAV,right
LC,left
LC,right
LD,left
LD,right
LDT,left
LDT,right
LGd,left
LGd,right
LGv,left
LGv,right
LH,left
LH,right
LHA,left
LHA,right
LIN,left
LIN,right
LING,left
LING,right
LM,left
LM,right
LP,left
LP,right
LPO,left
LPO,right
LRN,left
LRN,right
LS,left
LS,right
LT,left
LT,right
MA,left
MA,right
MA3,left
MA3,right
MARN,left
MARN,right
MBmot,left
MBmot,right
MBsta,left
MBsta,right
MD,left
MD,right
MDRN,left
MDRN,right
ME,left
ME,right
MEA,left
MEA,right
MEPO,left
MEPO,right
MEV,left
MEV,right
MEZ,left
MEZ,right
MG,left
MG,right
MH,left
MH,right
MM,left
MM,right
MOB,left
MOB,right
MOp,left
MOp,right
MOs,left
MOs,right
MPN,left
MPN,right
MPO,left
MPO,right
MPT,left
MPT,right
MRN,left
MRN,right
MS,left
MS,right
MT,left
